"cpf","sexo","salario","estado","poupanca","altura","peso","total.emprestimo","financiamento"
"741132012","M",5124,"MA",-1000,1.93,85.62,0,"S"
"246313940","F",4772.45,"SP",15012.9,1.84,99.12,NA,"S"
"431872706","F",5001.8,"BA",0,1.66,104.39,0,"N"
"127070574","F",5279.32,"DF",0,1.73,72.57,0,"S"
"620680271","M",5327.52,"RS",8172.68,2.05,97.89,0,"S"
"939260408","M",5229.73,"SE",0,1.69,74.25,0,"S"
"510705514","F",5170.99,"RS",17959.28,1.99,83.9,517.1,"S"
"907620892","F",5500.6,"SE",7301.42,1.89,89.12,550.06,"N"
"712737953","M",5742.47,"RN",15308.46,1.66,81.96,0,"N"
"804118560","F",5848.09,"AL",3509.81,1.74,57.5,0,"S"
"957045197","M",5427.6,"PA",0,2.05,65.74,542.76,"N"
"771535813","F",5694.42,"MA",0,1.99,86.27,0,"S"
"132054837","M",5369.31,"BA",0,1.43,114.24,0,"S"
"294936760","M",5475.39,"AP",775.05,2.03,106.5,0,"S"
"169291134","M",5773.2,"MG",0,2.04,102.66,0,"S"
"310543644","M",25375.15,"PE",0,1.96,85.35,0,"S"
"654727705","F",5321.66,"RN",0,1.72,101.38,0,"S"
"821755079","F",5675.92,"PR",18969.42,2.04,93.66,567.59,"S"
"542794212","F",5464.73,"ES",5672.81,1.41,98.18,546.47,"N"
"277024543","F",5419.74,"AC",0,11.4,103.79,0,"S"
"690372681","M",5267.19,"SP",17175.32,1.59,90.19,0,"N"
"206845266","F",5140.25,"PI",19110.45,1.49,82.65,0,"N"
"308950891","F",4730.89,"BA",0,1.41,102.46,473.09,"N"
"690228254","F",4979.47,"SP",0,1.68,97.13,0,"N"
"209782109","M",4581.44,"RJ",889.77,1.41,81.51,458.14,"N"
"758709023","F",4375.73,"RR",639.27,2.08,86.46,437.57,"N"
"353233479","M",4731.27,"RN",0,1.9,61.78,0,"N"
"323449168","F",4555.23,"MS",0,1.89,123.39,455.52,NA
"703915195","M",4745.18,"TO",0,1.81,103.48,0,"N"
"374687708","M",4537.38,"MT",0,1.8,64.55,453.74,"N"
"865698614","M",4288.76,"BA",0,2.05,95.5,0,"N"
"833044798","M",4288.66,"CE",NA,1.91,59.86,0,"N"
"423655928","M",4250.87,"GO",12639.29,1.65,85.69,0,"S"
"731648039","F",4265.47,"AC",NA,1.76,112.75,0,"N"
"935355590","F",4179.23,"DF",0,1.78,72.1,417.92,"N"
"170581813","M",4467.08,"DF",7699.07,1.54,98.35,0,"N"
"290433171","M",NA,"MT",0,1.7,96.42,419.16,"N"
"454508089","F",24305.71,"RJ",0,1.68,101.55,0,"N"
"972308303","M",4549.36,"ES",0,1.43,57.06,0,"N"
"719484808","M",4333.91,"RO",1053.42,1.41,104.73,0,"N"
"338574371","M",4639.19,"BA",0,1.87,110.48,0,"N"
"908006789","M",4920.29,"PB",0,1.93,82.07,0,"N"
"490455611","F",4607.93,"MS",0,2.06,123.9,460.79,"N"
"695769198","M",5033.02,"SP",0,1.72,77.64,503.3,"N"
"821260949","F",24657.76,"PA",0,2.07,66.31,0,"N"
"971529779","M",4873.65,"MT",19528.88,1.47,84.72,0,"S"
"313671587","M",5192.6,"SP",0,1.44,99.48,0,"S"
